X1,Player,Year.x,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Bench,Agility,Sprint,Rk,Year.y,Lg,Rd,Pk,Tm,Age,Pos,Born,College,From,To,G,MPG,PPG,RPG,APG,SPG,BPG,FG%,2P%,3P%,FT%,WS,WS/48
75,Wesley Johnson,2010,4,78.25,79.25,85,106,37,143,32,138,206,4.6,9,9.5,16,11.43,3.14,330,2010,NBA,1,4,MIN,22.354,F-G,us,Syracuse,2011,2019,609,22.1,7,3.2,1.1,0.8,0.7,0.404,0.46,0.337,0.741,10.7,0.038
76,Lance Stephenson,2010,40,76.5,77.75,82.5,103,33,136,27,130,227,9.3,9,10.25,10,11.39,3.38,245,2010,NBA,2,40,IND,19.297,G-F,us,Cincinnati,2011,2019,508,23.4,8.6,4.2,2.9,0.7,0.1,0.444,0.494,0.315,0.685,16.7,0.068
77,Jarvis Varnado,2010,41,80.25,82,87.5,109.5,32.5,142,29.5,139,210,9.5,9.25,9.5,3,11.61,3.37,164,2010,NBA,2,41,MIA,22.12,F,us,Mississippi State,2013,2014,37,10.7,2.9,1.9,0.4,0.3,0.8,0.582,0.582,NA,0.518,0.7,0.089
78,Devin Ebanks,2010,43,79,80.25,84.25,107.5,32,139.5,23.5,131,208,7.9,8.25,9,6,11.69,3.44,336,2010,NBA,2,43,LAL,20.244,F,us,West Virginia,2011,2013,63,11.3,3.6,1.9,0.4,0.3,0.2,0.385,0.418,0.222,0.722,0.5,0.035
79,Jerome Jordan,2010,44,83.5,84.75,89.25,113,NA,NA,NA,NA,244,6.9,9,10.25,NA,NA,NA,23,2010,NBA,2,44,MIL,23.274,C,jm,Tulsa,2012,2015,65,7.6,2.8,2,0.3,0.1,0.3,0.528,0.528,NA,0.852,1.7,0.168
80,Tiny Gallon,2010,47,80.5,81.5,88.5,109.5,28.5,138,23.5,133,302,15.1,9.25,10.5,14,13.44,3.7,482,2010,NBA,2,47,MIL,NA,NA,NA,Oklahoma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,Ryan Richards,2010,49,82.5,83.75,85.5,110,28.5,138.5,25,135,230,8,9,9.75,4,11.33,3.37,484,2010,NBA,2,49,SAS,19.066,F-C,gb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,DeMarcus Cousins,2010,5,81.5,82.75,89.75,113,27.5,140.5,23.5,136.5,292,16.4,9.25,10,NA,11.4,3.55,89,2010,NBA,1,5,SAC,19.32,C-F,us,Kentucky,2011,2019,565,32,21.2,10.9,3.2,1.4,1.2,0.461,0.477,0.332,0.737,44.1,0.117
83,Solomon Alabi,2010,50,83.5,84.75,89,113,26,139,22.5,135.5,237,5,9.25,9.25,10,13.2,3.68,389,2010,NBA,2,50,DAL,22.1,C,ng,Florida State,2011,2012,26,7,1.5,2.3,0.2,0.2,0.4,0.314,0.314,NA,0.7,0,0.01
84,Willie Warren,2010,54,74.5,75.75,78,99.5,31.5,131,23,122.5,208,7.6,8.5,9.5,10,11.21,3.5,252,2010,NBA,2,54,LAC,20.25,G,us,Oklahoma,2011,2011,19,7.1,1.9,0.6,1.4,0.3,0,0.371,0.4,0.333,0.75,0.2,0.065
85,Derrick Caracter,2010,58,80.25,81.5,84.25,107.25,30.5,137.75,25,132.25,280,12.8,9,10.25,22,12.78,3.61,275,2010,NBA,2,58,LAL,22.056,F,us,Texas-El Paso,2011,2011,41,5.2,2,1,0.2,0.1,0.2,0.485,0.485,NA,0.739,0.3,0.057
86,Stanley Robinson,2010,59,78.5,79.75,84,107.5,37.5,145,NA,NA,213,8.3,9,9,6,11.65,3.23,486,2010,NBA,2,59,ORL,NA,NA,NA,UConn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
