Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MPG,PPG,RPG,APG,SPG,BPG,FG%,2P%,3P%,FT%,WS,WS/48
40,2010,NBA,2,55,UTA,Jeremy Evans\evansje01,22.249,F,us,Western Kentucky,2011,2018,250,10.5,3.5,2.6,0.4,0.4,0.5,0.569,0.583,0.231,0.687,8.2,0.15
41,2017,NBA,1,28,LAL,Tony Bradley\bradlto01,19.17,F-C,us,UNC,2018,2020,16,5.6,2.6,2.2,0.1,0.1,0.3,0.486,0.5,0,0.7,0.3,0.15
42,2016,NBA,1,27,TOR,Pascal Siakam\siakapa01,22.088,F,cm,New Mexico State,2017,2020,222,23.8,10.5,5.2,2,0.7,0.6,0.528,0.587,0.319,0.757,16.3,0.148
43,2011,NBA,1,3,UTA,Enes Kanter\kanteen01,19.038,C,ch,,2012,2020,584,22.2,11.9,7.6,0.8,0.4,0.4,0.541,0.548,0.292,0.778,39.7,0.147
44,2013,NBA,1,12,OKC,Steven Adams\adamsst01,19.347,C,nz,Pitt,2014,2020,471,26.8,9.6,7.4,1,0.9,1,0.585,0.587,0,0.551,38.8,0.147
45,2017,NBA,2,51,DEN,Monte Morris\morrimo01,22.001,G,us,Iowa State,2018,2020,91,23,9.9,2.2,3.5,0.9,0,0.485,0.516,0.416,0.811,6.4,0.147
46,2010,NBA,1,3,NJN,Derrick Favors\favorde01,18.349,F-C,us,Georgia Tech,2011,2020,635,25.7,11.6,7.2,1.1,0.8,1.3,0.525,0.535,0.208,0.664,49.5,0.146
47,2013,NBA,1,22,BRK,Mason Plumlee\plumlma01,23.12,C-F,us,Duke,2014,2020,477,22,8.4,6.3,2.2,0.8,1,0.57,0.576,0.071,0.566,31.4,0.144
48,2010,NBA,2,57,IND,Ryan Reid\reidry01,23.243,F,us,Florida State,2012,2012,5,3.4,1.6,0.4,0,0,0,0.8,0.8,,,0.1,0.142
49,2016,NBA,2,33,LAC,Cheick Diallo\diallch01,19.288,F,ml,Kansas,2017,2020,136,12.4,5.4,4.5,0.4,0.3,0.4,0.587,0.589,0.25,0.75,5,0.142
50,2015,NBA,2,35,PHI,Willy Hernangómez\hernawi01,21.034,C,es,,2017,2020,180,14.7,7,5.6,1.1,0.4,0.4,0.53,0.543,0.364,0.696,7.8,0.141
51,2013,NBA,1,4,CHA,Cody Zeller\zelleco01,20.27,C-F,us,Indiana,2014,2020,366,23,8.3,5.9,1.4,0.7,0.8,0.512,0.517,0.28,0.739,24.6,0.14
52,2012,NBA,2,35,GSW,Draymond Green\greendr01,22.122,F,us,Michigan State,2013,2020,538,28.1,9.1,6.9,4.9,1.4,1.1,0.439,0.509,0.323,0.706,43.5,0.138
53,2015,NBA,1,20,TOR,Delon Wright\wrighde01,23.065,G,us,Utah,2016,2020,204,19.4,7.5,2.8,2.8,1,0.4,0.451,0.499,0.34,0.798,11.3,0.137
54,2010,NBA,1,7,DET,Greg Monroe\monrogr01,20.025,C-F,us,Georgetown,2011,2019,632,27.7,13.2,8.3,2.1,1.1,0.6,0.514,0.515,0.059,0.704,49.7,0.136
55,2010,NBA,1,11,NOH,Cole Aldrich\aldrico01,21.241,C,us,Kansas,2011,2018,339,10,3.1,3.3,0.5,0.4,0.7,0.527,0.527,,0.738,9.6,0.135
56,2015,NBA,1,11,IND,Myles Turner\turnemy01,19.097,C-F,us,Texas,2016,2020,284,28.1,12.9,6.7,1.2,0.7,2,0.495,0.522,0.368,0.771,22.5,0.135
57,2016,NBA,1,30,GSW,Damian Jones\jonesda03,20.364,F-C,us,Vanderbilt,2017,2020,53,11.8,3.5,2.2,0.6,0.3,0.6,0.647,0.644,1,0.589,1.8,0.135
58,2009,NBA,1,13,IND,Tyler Hansbrough\hansbty01,23.24,F,us,UNC,2010,2016,428,16.9,6.7,4.2,0.4,0.5,0.2,0.439,0.442,0.136,0.738,20.2,0.134
59,2016,NBA,2,32,LAL,Ivica Zubac\zubaciv01,19.102,C,ba,,2017,2020,147,14.8,7,4.7,0.8,0.3,0.7,0.547,0.55,0,0.77,6,0.133
60,2017,NBA,2,38,CHI,Jordan Bell\belljo01,22.172,F,us,Oregon,2018,2020,128,12.7,3.9,3.2,1.4,0.4,0.8,0.573,0.582,0,0.651,4.5,0.133
61,2016,NBA,2,52,UTA,Joel Bolomboy\bolomjo01,22.152,F,ua,Weber State,2017,2018,18,5.1,1.7,1.5,0.1,0.2,0.1,0.545,0.647,0.2,0.5,0.3,0.132
62,2009,NBA,2,31,SAC,Jeff Ayres\pendeje02,22.063,F,us,Arizona State,2010,2016,237,9.8,2.9,2.7,0.4,0.2,0.3,0.553,0.554,0.4,0.776,6.3,0.131
63,2015,NBA,1,27,LAL,Larry Nance\nancela02,22.18,F-C,us,Wyoming,2016,2020,265,22.9,7.8,6.5,1.7,1.2,0.5,0.536,0.566,0.294,0.698,16.6,0.131
64,2016,NBA,2,31,BOS,Deyonta Davis\davisde01,19.208,C-F,us,Michigan State,2017,2019,107,12.1,4.2,3.2,0.4,0.2,0.6,0.599,0.601,0,0.635,3.6,0.131
65,2009,NBA,2,37,SAS,DeJuan Blair\blairde01,20.069,F-C,us,Pitt,2010,2016,424,16.6,6.8,5.1,0.8,0.7,0.3,0.524,0.526,0,0.608,19,0.129
66,2011,NBA,1,23,HOU,Nikola Mirotić\mirotni01,20.137,F,me,,2015,2019,319,24.2,12.3,5.9,1.3,0.8,0.7,0.423,0.502,0.359,0.808,20.8,0.129
67,2010,NBA,1,9,UTA,Gordon Hayward\haywago01,20.098,F-G,us,Butler,2011,2020,594,30.6,15.1,4.2,3.4,1,0.4,0.446,0.483,0.366,0.821,48.4,0.128
68,2013,NBA,1,3,WAS,Otto Porter\porteot01,20.029,F,us,Georgetown,2014,2020,406,26.9,11,5,1.5,1.2,0.4,0.481,0.527,0.403,0.791,29.2,0.128
69,2011,NBA,2,42,IND,Dāvis Bertāns\bertada01,18.227,F,lv,,2017,2020,225,16.3,6.4,2.4,1,0.4,0.4,0.446,0.548,0.408,0.849,9.7,0.127
70,2012,NBA,1,18,HOU,Terrence Jones\joneste01,20.176,F,us,Kentucky,2013,2019,234,23.8,10.4,5.7,1,0.6,1.2,0.501,0.539,0.297,0.621,14.7,0.127
